연령대,행정구역,인구 수,1인가구 수,성별
총합,서대문구,"305,909","66,715",M+F
0~69세,서대문구,"266,990","56,239",M+F
0~4세,서대문구,"7,227",2,M+F
5~9세,서대문구,"10,027",4,M+F
10~14세,서대문구,"10,589",24,M+F
15~19세,서대문구,"11,619",580,M+F
20~24세,서대문구,"21,572","7,604",M+F
25~29세,서대문구,"26,837","11,140",M+F
30~34세,서대문구,"23,921","8,255",M+F
35~39세,서대문구,"20,637","4,853",M+F
40~44세,서대문구,"22,906","3,991",M+F
45~49세,서대문구,"21,152","3,344",M+F
50~54세,서대문구,"25,943","4,150",M+F
55~59세,서대문구,"23,087","3,799",M+F
60~64세,서대문구,"22,413","4,344",M+F
65~69세,서대문구,"19,060","4,149",M+F
총합,서대문구,"145,181","30,230",M
0~69세,서대문구,"129,274","27,416",M
0~4세,서대문구,"3,729",0,M
5~9세,서대문구,"5,079",2,M
10~14세,서대문구,"5,358",11,M
15~19세,서대문구,"5,653",162,M
20~24세,서대문구,"9,510","2,655",M
25~29세,서대문구,"12,954","5,349",M
30~34세,서대문구,"11,861","4,399",M
35~39세,서대문구,"10,109","2,666",M
40~44세,서대문구,"11,398","2,173",M
45~49세,서대문구,"10,379","1,792",M
50~54세,서대문구,"12,548","2,289",M
55~59세,서대문구,"11,149","2,089",M
60~64세,서대문구,"10,663","2,117",M
65~69세,서대문구,"8,884","1,712",M
총합,서대문구,"160,728","36,485",F
0~69세,서대문구,"137,716","28,823",F
0~4세,서대문구,"3,498",2,F
5~9세,서대문구,"4,948",2,F
10~14세,서대문구,"5,231",13,F
15~19세,서대문구,"5,966",418,F
20~24세,서대문구,"12,062","4,949",F
25~29세,서대문구,"13,883","5,791",F
30~34세,서대문구,"12,060","3,856",F
35~39세,서대문구,"10,528","2,187",F
40~44세,서대문구,"11,508","1,818",F
45~49세,서대문구,"10,773","1,552",F
50~54세,서대문구,"13,395","1,861",F
55~59세,서대문구,"11,938","1,710",F
60~64세,서대문구,"11,750","2,227",F
65~69세,서대문구,"10,176","2,437",F
총합,충정로2가,"1,135",511,M+F
0~69세,충정로2가,"1,010",479,M+F
0~4세,충정로2가,17,0,M+F
5~9세,충정로2가,17,0,M+F
10~14세,충정로2가,18,0,M+F
15~19세,충정로2가,35,4,M+F
20~24세,충정로2가,63,30,M+F
25~29세,충정로2가,165,121,M+F
30~34세,충정로2가,170,118,M+F
35~39세,충정로2가,95,54,M+F
40~44세,충정로2가,73,34,M+F
45~49세,충정로2가,73,27,M+F
50~54세,충정로2가,85,29,M+F
55~59세,충정로2가,62,16,M+F
60~64세,충정로2가,74,24,M+F
65~69세,충정로2가,63,22,M+F
총합,충정로2가,554,246,M
0~69세,충정로2가,495,235,M
0~4세,충정로2가,7,0,M
5~9세,충정로2가,8,0,M
10~14세,충정로2가,8,0,M
15~19세,충정로2가,16,1,M
20~24세,충정로2가,29,12,M
25~29세,충정로2가,59,40,M
30~34세,충정로2가,83,55,M
35~39세,충정로2가,53,27,M
40~44세,충정로2가,43,19,M
45~49세,충정로2가,40,21,M
50~54세,충정로2가,51,22,M
55~59세,충정로2가,35,12,M
60~64세,충정로2가,37,15,M
65~69세,충정로2가,26,11,M
총합,충정로2가,581,265,F
0~69세,충정로2가,515,244,F
0~4세,충정로2가,10,0,F
5~9세,충정로2가,9,0,F
10~14세,충정로2가,10,0,F
15~19세,충정로2가,19,3,F
20~24세,충정로2가,34,18,F
25~29세,충정로2가,106,81,F
30~34세,충정로2가,87,63,F
35~39세,충정로2가,42,27,F
40~44세,충정로2가,30,15,F
45~49세,충정로2가,33,6,F
50~54세,충정로2가,34,7,F
55~59세,충정로2가,27,4,F
60~64세,충정로2가,37,9,F
65~69세,충정로2가,37,11,F
총합,충정로3가,"4,935","1,732",M+F
0~69세,충정로3가,"4,340","1,541",M+F
0~4세,충정로3가,62,0,M+F
5~9세,충정로3가,81,0,M+F
10~14세,충정로3가,113,0,M+F
15~19세,충정로3가,138,20,M+F
20~24세,충정로3가,274,102,M+F
25~29세,충정로3가,600,332,M+F
30~34세,충정로3가,591,328,M+F
35~39세,충정로3가,405,199,M+F
40~44세,충정로3가,326,103,M+F
45~49세,충정로3가,294,89,M+F
50~54세,충정로3가,368,84,M+F
55~59세,충정로3가,340,88,M+F
60~64세,충정로3가,384,107,M+F
65~69세,충정로3가,364,89,M+F
총합,충정로3가,"2,320",806,M
0~69세,충정로3가,"2,063",737,M
0~4세,충정로3가,29,0,M
5~9세,충정로3가,43,0,M
10~14세,충정로3가,56,0,M
15~19세,충정로3가,62,5,M
20~24세,충정로3가,115,31,M
25~29세,충정로3가,242,121,M
30~34세,충정로3가,288,163,M
35~39세,충정로3가,192,95,M
40~44세,충정로3가,159,50,M
45~49세,충정로3가,156,57,M
50~54세,충정로3가,185,53,M
55~59세,충정로3가,170,57,M
60~64세,충정로3가,184,60,M
65~69세,충정로3가,182,45,M
총합,충정로3가,"2,615",926,F
0~69세,충정로3가,"2,277",804,F
0~4세,충정로3가,33,0,F
5~9세,충정로3가,38,0,F
10~14세,충정로3가,57,0,F
15~19세,충정로3가,76,15,F
20~24세,충정로3가,159,71,F
25~29세,충정로3가,358,211,F
30~34세,충정로3가,303,165,F
35~39세,충정로3가,213,104,F
40~44세,충정로3가,167,53,F
45~49세,충정로3가,138,32,F
50~54세,충정로3가,183,31,F
55~59세,충정로3가,170,31,F
60~64세,충정로3가,200,47,F
65~69세,충정로3가,182,44,F
총합,합동,"1,063",402,M+F
0~69세,합동,"1,004",383,M+F
0~4세,합동,41,0,M+F
5~9세,합동,39,0,M+F
10~14세,합동,25,0,M+F
15~19세,합동,32,1,M+F
20~24세,합동,42,9,M+F
25~29세,합동,119,71,M+F
30~34세,합동,144,92,M+F
35~39세,합동,127,64,M+F
40~44세,합동,119,52,M+F
45~49세,합동,93,37,M+F
50~54세,합동,82,19,M+F
55~59세,합동,65,16,M+F
60~64세,합동,50,15,M+F
65~69세,합동,26,7,M+F
총합,합동,479,177,M
0~69세,합동,450,169,M
0~4세,합동,18,0,M
5~9세,합동,22,0,M
10~14세,합동,10,0,M
15~19세,합동,10,1,M
20~24세,합동,22,3,M
25~29세,합동,44,27,M
30~34세,합동,69,47,M
35~39세,합동,57,29,M
40~44세,합동,49,20,M
45~49세,합동,38,16,M
50~54세,합동,44,10,M
55~59세,합동,34,8,M
60~64세,합동,23,7,M
65~69세,합동,10,1,M
총합,합동,584,225,F
0~69세,합동,554,214,F
0~4세,합동,23,0,F
5~9세,합동,17,0,F
10~14세,합동,15,0,F
15~19세,합동,22,0,F
20~24세,합동,20,6,F
25~29세,합동,75,44,F
30~34세,합동,75,45,F
35~39세,합동,70,35,F
40~44세,합동,70,32,F
45~49세,합동,55,21,F
50~54세,합동,38,9,F
55~59세,합동,31,8,F
60~64세,합동,27,8,F
65~69세,합동,16,6,F
총합,미근동,448,238,M+F
0~69세,미근동,363,196,M+F
0~4세,미근동,0,0,M+F
5~9세,미근동,4,0,M+F
10~14세,미근동,2,0,M+F
15~19세,미근동,6,0,M+F
20~24세,미근동,26,15,M+F
25~29세,미근동,70,53,M+F
30~34세,미근동,52,38,M+F
35~39세,미근동,32,20,M+F
40~44세,미근동,35,18,M+F
45~49세,미근동,26,12,M+F
50~54세,미근동,22,12,M+F
55~59세,미근동,32,11,M+F
60~64세,미근동,26,9,M+F
65~69세,미근동,30,8,M+F
총합,미근동,231,123,M
0~69세,미근동,196,109,M
0~4세,미근동,0,0,M
5~9세,미근동,2,0,M
10~14세,미근동,1,0,M
15~19세,미근동,3,0,M
20~24세,미근동,11,6,M
25~29세,미근동,39,28,M
30~34세,미근동,30,19,M
35~39세,미근동,15,10,M
40~44세,미근동,19,12,M
45~49세,미근동,15,7,M
50~54세,미근동,11,7,M
55~59세,미근동,15,7,M
60~64세,미근동,16,7,M
65~69세,미근동,19,6,M
총합,미근동,217,115,F
0~69세,미근동,167,87,F
0~4세,미근동,0,0,F
5~9세,미근동,2,0,F
10~14세,미근동,1,0,F
15~19세,미근동,3,0,F
20~24세,미근동,15,9,F
25~29세,미근동,31,25,F
30~34세,미근동,22,19,F
35~39세,미근동,17,10,F
40~44세,미근동,16,6,F
45~49세,미근동,11,5,F
50~54세,미근동,11,5,F
55~59세,미근동,17,4,F
60~64세,미근동,10,2,F
65~69세,미근동,11,2,F
총합,냉천동,"3,040",581,M+F
0~69세,냉천동,"2,710",465,M+F
0~4세,냉천동,110,0,M+F
5~9세,냉천동,137,0,M+F
10~14세,냉천동,123,0,M+F
15~19세,냉천동,114,1,M+F
20~24세,냉천동,180,34,M+F
25~29세,냉천동,164,41,M+F
30~34세,냉천동,196,47,M+F
35~39세,냉천동,230,36,M+F
40~44세,냉천동,265,28,M+F
45~49세,냉천동,229,50,M+F
50~54세,냉천동,307,58,M+F
55~59세,냉천동,249,56,M+F
60~64세,냉천동,220,54,M+F
65~69세,냉천동,186,60,M+F
총합,냉천동,"1,493",306,M
0~69세,냉천동,"1,341",258,M
0~4세,냉천동,60,0,M
5~9세,냉천동,72,0,M
10~14세,냉천동,68,0,M
15~19세,냉천동,60,0,M
20~24세,냉천동,78,11,M
25~29세,냉천동,61,16,M
30~34세,냉천동,88,22,M
35~39세,냉천동,112,21,M
40~44세,냉천동,129,14,M
45~49세,냉천동,113,24,M
50~54세,냉천동,152,39,M
55~59세,냉천동,129,43,M
60~64세,냉천동,122,33,M
65~69세,냉천동,97,35,M
총합,냉천동,"1,547",275,F
0~69세,냉천동,"1,369",207,F
0~4세,냉천동,50,0,F
5~9세,냉천동,65,0,F
10~14세,냉천동,55,0,F
15~19세,냉천동,54,1,F
20~24세,냉천동,102,23,F
25~29세,냉천동,103,25,F
30~34세,냉천동,108,25,F
35~39세,냉천동,118,15,F
40~44세,냉천동,136,14,F
45~49세,냉천동,116,26,F
50~54세,냉천동,155,19,F
55~59세,냉천동,120,13,F
60~64세,냉천동,98,21,F
65~69세,냉천동,89,25,F
총합,천연동,"4,522",855,M+F
0~69세,천연동,"3,911",680,M+F
0~4세,천연동,133,0,M+F
5~9세,천연동,162,0,M+F
10~14세,천연동,186,1,M+F
15~19세,천연동,213,7,M+F
20~24세,천연동,205,26,M+F
25~29세,천연동,314,82,M+F
30~34세,천연동,319,86,M+F
35~39세,천연동,375,83,M+F
40~44세,천연동,389,66,M+F
45~49세,천연동,376,71,M+F
50~54세,천연동,394,70,M+F
55~59세,천연동,294,60,M+F
60~64세,천연동,315,72,M+F
65~69세,천연동,236,56,M+F
총합,천연동,"2,095",372,M
0~69세,천연동,"1,883",342,M
0~4세,천연동,75,0,M
5~9세,천연동,81,0,M
10~14세,천연동,94,1,M
15~19세,천연동,105,1,M
20~24세,천연동,87,5,M
25~29세,천연동,152,43,M
30~34세,천연동,144,43,M
35~39세,천연동,188,51,M
40~44세,천연동,191,34,M
45~49세,천연동,179,33,M
50~54세,천연동,198,42,M
55~59세,천연동,142,33,M
60~64세,천연동,144,34,M
65~69세,천연동,103,22,M
총합,천연동,"2,427",483,F
0~69세,천연동,"2,028",338,F
0~4세,천연동,58,0,F
5~9세,천연동,81,0,F
10~14세,천연동,92,0,F
15~19세,천연동,108,6,F
20~24세,천연동,118,21,F
25~29세,천연동,162,39,F
30~34세,천연동,175,43,F
35~39세,천연동,187,32,F
40~44세,천연동,198,32,F
45~49세,천연동,197,38,F
50~54세,천연동,196,28,F
55~59세,천연동,152,27,F
60~64세,천연동,171,38,F
65~69세,천연동,133,34,F
총합,옥천동,945,379,M+F
0~69세,옥천동,758,295,M+F
0~4세,옥천동,14,0,M+F
5~9세,옥천동,6,0,M+F
10~14세,옥천동,14,0,M+F
15~19세,옥천동,24,2,M+F
20~24세,옥천동,46,18,M+F
25~29세,옥천동,92,50,M+F
30~34세,옥천동,87,49,M+F
35~39세,옥천동,47,20,M+F
40~44세,옥천동,45,18,M+F
45~49세,옥천동,56,13,M+F
50~54세,옥천동,80,29,M+F
55~59세,옥천동,85,29,M+F
60~64세,옥천동,78,35,M+F
65~69세,옥천동,84,32,M+F
총합,옥천동,441,175,M
0~69세,옥천동,379,154,M
0~4세,옥천동,7,0,M
5~9세,옥천동,1,0,M
10~14세,옥천동,11,0,M
15~19세,옥천동,16,1,M
20~24세,옥천동,12,3,M
25~29세,옥천동,52,28,M
30~34세,옥천동,39,25,M
35~39세,옥천동,30,10,M
40~44세,옥천동,21,7,M
45~49세,옥천동,30,9,M
50~54세,옥천동,44,20,M
55~59세,옥천동,47,18,M
60~64세,옥천동,32,18,M
65~69세,옥천동,37,15,M
총합,옥천동,504,204,F
0~69세,옥천동,379,141,F
0~4세,옥천동,7,0,F
5~9세,옥천동,5,0,F
10~14세,옥천동,3,0,F
15~19세,옥천동,8,1,F
20~24세,옥천동,34,15,F
25~29세,옥천동,40,22,F
30~34세,옥천동,48,24,F
35~39세,옥천동,17,10,F
40~44세,옥천동,24,11,F
45~49세,옥천동,26,4,F
50~54세,옥천동,36,9,F
55~59세,옥천동,38,11,F
60~64세,옥천동,46,17,F
65~69세,옥천동,47,17,F
총합,영천동,"2,972",361,M+F
0~69세,영천동,"2,597",284,M+F
0~4세,영천동,80,0,M+F
5~9세,영천동,91,1,M+F
10~14세,영천동,104,3,M+F
15~19세,영천동,149,1,M+F
20~24세,영천동,179,11,M+F
25~29세,영천동,185,22,M+F
30~34세,영천동,174,20,M+F
35~39세,영천동,161,22,M+F
40~44세,영천동,179,16,M+F
45~49세,영천동,188,20,M+F
50~54세,영천동,300,44,M+F
55~59세,영천동,296,34,M+F
60~64세,영천동,304,56,M+F
65~69세,영천동,207,34,M+F
총합,영천동,"1,379",162,M
0~69세,영천동,"1,228",142,M
0~4세,영천동,36,0,M
5~9세,영천동,37,1,M
10~14세,영천동,44,1,M
15~19세,영천동,66,0,M
20~24세,영천동,85,5,M
25~29세,영천동,94,11,M
30~34세,영천동,81,15,M
35~39세,영천동,83,14,M
40~44세,영천동,79,7,M
45~49세,영천동,90,12,M
50~54세,영천동,145,23,M
55~59세,영천동,140,18,M
60~64세,영천동,150,28,M
65~69세,영천동,98,7,M
총합,영천동,"1,593",199,F
0~69세,영천동,"1,369",142,F
0~4세,영천동,44,0,F
5~9세,영천동,54,0,F
10~14세,영천동,60,2,F
15~19세,영천동,83,1,F
20~24세,영천동,94,6,F
25~29세,영천동,91,11,F
30~34세,영천동,93,5,F
35~39세,영천동,78,8,F
40~44세,영천동,100,9,F
45~49세,영천동,98,8,F
50~54세,영천동,155,21,F
55~59세,영천동,156,16,F
60~64세,영천동,154,28,F
65~69세,영천동,109,27,F
총합,현저동,"5,047",903,M+F
0~69세,현저동,"4,226",590,M+F
0~4세,현저동,121,0,M+F
5~9세,현저동,151,0,M+F
10~14세,현저동,125,0,M+F
15~19세,현저동,207,0,M+F
20~24세,현저동,258,13,M+F
25~29세,현저동,291,41,M+F
30~34세,현저동,347,55,M+F
35~39세,현저동,345,47,M+F
40~44세,현저동,326,43,M+F
45~49세,현저동,345,54,M+F
50~54세,현저동,476,56,M+F
55~59세,현저동,447,85,M+F
60~64세,현저동,440,97,M+F
65~69세,현저동,347,99,M+F
총합,현저동,"2,395",407,M
0~69세,현저동,"2,085",318,M
0~4세,현저동,59,0,M
5~9세,현저동,83,0,M
10~14세,현저동,57,0,M
15~19세,현저동,104,0,M
20~24세,현저동,135,10,M
25~29세,현저동,165,33,M
30~34세,현저동,166,38,M
35~39세,현저동,165,24,M
40~44세,현저동,155,20,M
45~49세,현저동,154,25,M
50~54세,현저동,233,29,M
55~59세,현저동,208,43,M
60~64세,현저동,230,51,M
65~69세,현저동,171,45,M
총합,현저동,"2,652",496,F
0~69세,현저동,"2,141",272,F
0~4세,현저동,62,0,F
5~9세,현저동,68,0,F
10~14세,현저동,68,0,F
15~19세,현저동,103,0,F
20~24세,현저동,123,3,F
25~29세,현저동,126,8,F
30~34세,현저동,181,17,F
35~39세,현저동,180,23,F
40~44세,현저동,171,23,F
45~49세,현저동,191,29,F
50~54세,현저동,243,27,F
55~59세,현저동,239,42,F
60~64세,현저동,210,46,F
65~69세,현저동,176,54,F
총합,북아현동,"27,632","5,122",M+F
0~69세,북아현동,"24,601","4,254",M+F
0~4세,북아현동,884,1,M+F
5~9세,북아현동,"1,167",0,M+F
10~14세,북아현동,974,2,M+F
15~19세,북아현동,924,29,M+F
20~24세,북아현동,"1,512",251,M+F
25~29세,북아현동,"2,073",561,M+F
30~34세,북아현동,"2,332",636,M+F
35~39세,북아현동,"2,190",424,M+F
40~44세,북아현동,"2,371",331,M+F
45~49세,북아현동,"1,906",310,M+F
50~54세,북아현동,"2,366",436,M+F
55~59세,북아현동,"2,244",413,M+F
60~64세,북아현동,"2,022",444,M+F
65~69세,북아현동,"1,636",416,M+F
총합,북아현동,"13,306","2,466",M
0~69세,북아현동,"12,068","2,224",M
0~4세,북아현동,466,0,M
5~9세,북아현동,593,0,M
10~14세,북아현동,502,0,M
15~19세,북아현동,439,11,M
20~24세,북아현동,684,87,M
25~29세,북아현동,966,256,M
30~34세,북아현동,"1,153",338,M
35~39세,북아현동,"1,052",252,M
40~44세,북아현동,"1,238",202,M
45~49세,북아현동,948,157,M
50~54세,북아현동,"1,128",245,M
55~59세,북아현동,"1,103",239,M
60~64세,북아현동,"1,013",237,M
65~69세,북아현동,783,200,M
총합,북아현동,"14,326","2,656",F
0~69세,북아현동,"12,533","2,030",F
0~4세,북아현동,418,1,F
5~9세,북아현동,574,0,F
10~14세,북아현동,472,2,F
15~19세,북아현동,485,18,F
20~24세,북아현동,828,164,F
